Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem
Other,ST/SC,Primary (1-8),Other,above 10 lakh,No,Yes,80-90%,Above 90%,Regional languages,5.15,M.tech,Regional and Private Colleges,90%,Home,Never,On the due date,50%,3-5 hours,No,1-2 hours,Sleeping all day,Practice by writing,Library (self),From YouTube/online platforms,3,2am,No,Worse than you,Toxic Relationship
Other,OBC,Primary (1-8),Rural,2.5 - 5 lakh,Yes,No,80-90%,Below 60%,Regional languages,7.26,MCA,IIT,Didn't attend classes properly,Other,Frequently,2 or more days before due date,100%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Practice by writing,Library (group study),From Professor in class,More than 4,1am,Yes,Almost same as you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Urban,2.5 - 5 lakh,No,Yes,Above 90%,60-70%,Hindi,7.29,MCA,Regional and Private Colleges,Didn't attend classes properly,Other,Once in a while,On the due date,80%,5+ hours,No,5+ hours,Revising the week's study material,Practice by writing,Library (group study),From friends after class,More than 4,2am,No,Better than you,Single
Female,General,Tertiary (graduation or above),Urban,Below 1 lakh,No,Yes,70-80%,Above 90%,Regional languages,7.05,M.tech,Regional and Private Colleges,80%,Hostel room,Frequently,2 or more days before due date,10%,5+ hours,No,2-4 hours,Netflix and Chill,Revising the whole notes,Home (group study),From Professor in class,More than 4,3am or later,Yes,Almost same as you,Healthy Relationship
Male,OBC,Secondary (9-12),Other,Below 1 lakh,No,No,80-90%,Above 90%,English,9.06,M.tech,NIT,90%,Hostel room,Frequently,On the due date,50%,5+ hours,Yes,5+ hours,Going outside with friends,Summarizing and making short notes,Library (self),Reading from books,2,2am,No,Worse than you,Single
Male,ST/SC,Secondary (9-12),Urban,Below 1 lakh,Yes,No,60-70%,80-90%,Hindi,7.14,M.sc.,Reputed University,80%,PG room,Once in a while,Missed some homeworks,80%,5+ hours,Yes,5+ hours,Revising the week's study material,Practice by writing,Library (self),From friends after class,2,1am,No,Better than you,Single
Female,OBC,Secondary (9-12),Urban,2.5 - 5 lakh,Yes,No,80-90%,70-80%,Regional languages,6.15,B.sc.,Regional and Private Colleges,80%,Hostel room,Frequently,On the due date,80%,3-5 hours,No,2-4 hours,Going outside with friends,Practice by writing,Home (self),From YouTube/online platforms,Alone,2am,No,Better than you,Healthy Relationship
Other,General,Secondary (9-12),Other,Below 1 lakh,Yes,Yes,Above 90%,60-70%,Regional languages,6.88,BCA,IIT,70%,PG room,Once in a while,2 or more days before due date,50%,5+ hours,Yes,5+ hours,Sleeping all day,Practice by writing,Home (self),From YouTube/online platforms,Alone,12am or before,Yes,Almost same as you,Single
Female,OBC,Tertiary (graduation or above),Rural,5 - 10 lakh,Yes,Yes,Above 90%,Above 90%,Hindi,6.55,B.sc.,Reputed University,Didn't attend classes properly,Home,Never,On the due date,10%,3-5 hours,No,5+ hours,Sleeping all day,Practice by writing,Home (self),From friends after class,2,3am or later,No,Worse than you,Toxic Relationship
Female,ST/SC,Tertiary (graduation or above),Rural,5 - 10 lakh,Yes,Yes,Above 90%,Above 90%,Regional languages,9.55,B.sc.,Regional and Private Colleges,70%,Other,Never,On the due date,10%,2 hours or less,No,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,2,2am,Yes,Worse than you,Toxic Relationship
Female,OBC,Primary (1-8),Semi-Urban,2.5 - 5 lakh,Yes,No,Above 90%,80-90%,English,9.8,MCA,NIT,Didn't attend classes properly,Home,Never,2 or more days before due date,10%,5+ hours,No,5+ hours,Going outside with friends,Revising the whole notes,Library (self),From YouTube/online platforms,2,2am,No,Worse than you,Single
Male,ST/SC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,Yes,60-70%,60-70%,Hindi,8.33,Law,Regional and Private Colleges,90%,Hostel room,Once in a while,Missed some homeworks,80%,5+ hours,Yes,1-2 hours,Revising the week's study material,Summarizing and making short notes,Library (self),Reading from books,Alone,3am or later,No,Worse than you,Toxic Relationship
Male,Other (PWD),Tertiary (graduation or above),Urban,2.5 - 5 lakh,No,Yes,70-80%,Above 90%,Hindi,9.33,M.tech,IIT,90%,Hostel room,Never,On the due date,10%,5+ hours,Yes,2-4 hours,Netflix and Chill,Summarizing and making short notes,Home (self),From YouTube/online platforms,4,1am,Yes,Almost same as you,Healthy Relationship
Female,Other (PWD),Tertiary (graduation or above),Other,above 10 lakh,Yes,Yes,70-80%,60-70%,English,8.67,M.tech,Regional and Private Colleges,80%,Home,Frequently,Missed some homeworks,10%,5+ hours,Yes,5+ hours,Revising the week's study material,Practice by writing,Home (self),Reading from books,Alone,1am,No,Better than you,Healthy Relationship
Female,OBC,Secondary (9-12),Other,2.5 - 5 lakh,Yes,Yes,Above 90%,80-90%,English,6.42,M.tech,NIT,90%,PG room,Never,Missed some homeworks,50%,3-5 hours,No,2-4 hours,Revising the week's study material,Summarizing and making short notes,Home (group study),Reading from books,3,12am or before,No,Almost same as you,Single
Male,ST/SC,Primary (1-8),Urban,1 - 2.5 lakh,No,Yes,70-80%,70-80%,Regional languages,9.82,BCA,NIT,80%,Home,Frequently,On the due date,80%,5+ hours,Yes,5+ hours,Sleeping all day,Revising the whole notes,Library (group study),Reading from books,4,1am,No,Almost same as you,Healthy Relationship
Male,General,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,Yes,Below 60%,Above 90%,Regional languages,5.2,BCA,NIT,Didn't attend classes properly,PG room,Never,Missed some homeworks,80%,2 hours or less,Yes,5+ hours,Going outside with friends,Revising the whole notes,Library (self),Reading from books,More than 4,3am or later,No,Better than you,Single
Other,Other (PWD),Secondary (9-12),Semi-Urban,above 10 lakh,No,No,70-80%,70-80%,English,5.2,M.sc.,Regional and Private Colleges,90%,Hostel room,Never,2 or more days before due date,10%,5+ hours,Yes,5+ hours,Netflix and Chill,Practice by writing,Home (self),From YouTube/online platforms,Alone,2am,Yes,Worse than you,Toxic Relationship
Male,OBC,Secondary (9-12),Other,5 - 10 lakh,Yes,No,Below 60%,80-90%,English,6.19,B.sc.,NIT,90%,Home,Frequently,Missed some homeworks,10%,5+ hours,Yes,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,Alone,12am or before,Yes,Worse than you,Toxic Relationship
Male,General,Primary (1-8),Urban,Below 1 lakh,Yes,No,70-80%,70-80%,Hindi,8,Law,Reputed University,Didn't attend classes properly,Home,Never,On the due date,80%,2 hours or less,Yes,0 hours,Netflix and Chill,Practice by writing,Home (group study),From friends after class,3,2am,Yes,Better than you,Toxic Relationship
Female,Other (PWD),Primary (1-8),Rural,5 - 10 lakh,Yes,Yes,Above 90%,Below 60%,Regional languages,6.18,Law,Regional and Private Colleges,Didn't attend classes properly,Other,Never,Missed some homeworks,100%,3-5 hours,No,5+ hours,Netflix and Chill,Revising the whole notes,Home (group study),From YouTube/online platforms,2,2am,Yes,Worse than you,Toxic Relationship
Female,General,Secondary (9-12),Other,2.5 - 5 lakh,No,No,Above 90%,70-80%,English,7.13,M.tech,NIT,90%,PG room,Frequently,2 or more days before due date,80%,2 hours or less,Yes,2-4 hours,Netflix and Chill,Revising the whole notes,Home (group study),From Professor in class,3,3am or later,Yes,Worse than you,Healthy Relationship
Male,OBC,Secondary (9-12),Other,above 10 lakh,Yes,No,60-70%,70-80%,Hindi,7.92,MCA,NIT,Didn't attend classes properly,PG room,Never,On the due date,100%,5+ hours,No,0 hours,Sleeping all day,Revising the whole notes,Library (self),Reading from books,More than 4,3am or later,No,Almost same as you,Single
Female,ST/SC,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,No,No,Above 90%,60-70%,Regional languages,7.07,MCA,Reputed University,80%,Home,Frequently,2 or more days before due date,50%,5+ hours,Yes,5+ hours,Revising the week's study material,Summarizing and making short notes,Library (group study),From friends after class,2,12am or before,No,Almost same as you,Single
Female,OBC,Tertiary (graduation or above),Urban,above 10 lakh,No,Yes,80-90%,60-70%,English,9.93,Other,Regional and Private Colleges,70%,PG room,Frequently,Missed some homeworks,100%,5+ hours,No,5+ hours,Going outside with friends,Revising the whole notes,Home (group study),From friends after class,Alone,2am,No,Better than you,Single
Female,General,Primary (1-8),Semi-Urban,2.5 - 5 lakh,Yes,No,Below 60%,Above 90%,Hindi,6.42,MCA,IIT,70%,Hostel room,Frequently,On the due date,10%,3-5 hours,No,1-2 hours,Netflix and Chill,Revising the whole notes,Home (self),From YouTube/online platforms,More than 4,1am,No,Almost same as you,Healthy Relationship
Other,ST/SC,Secondary (9-12),Semi-Urban,Below 1 lakh,No,No,80-90%,Above 90%,English,5.25,M.sc.,NIT,70%,PG room,Frequently,On the due date,80%,3-5 hours,No,5+ hours,Netflix and Chill,Summarizing and making short notes,Library (group study),From YouTube/online platforms,3,2am,No,Almost same as you,Toxic Relationship
Female,OBC,Tertiary (graduation or above),Other,2.5 - 5 lakh,Yes,Yes,Below 60%,Above 90%,Hindi,7.21,MCA,IIT,90%,Hostel room,Frequently,Missed some homeworks,10%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Practice by writing,Library (self),From friends after class,2,1am,Yes,Better than you,Single
Male,General,Primary (1-8),Other,5 - 10 lakh,No,Yes,Below 60%,70-80%,English,6.84,Other,IIT,80%,Hostel room,Frequently,On the due date,10%,5+ hours,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Library (group study),From YouTube/online platforms,2,1am,No,Almost same as you,Single
Female,Other (PWD),Secondary (9-12),Semi-Urban,Below 1 lakh,No,Yes,Above 90%,60-70%,Regional languages,9.47,B.sc.,Reputed University,80%,Home,Never,On the due date,50%,5+ hours,No,1-2 hours,Going outside with friends,Summarizing and making short notes,Home (group study),From friends after class,3,12am or before,No,Worse than you,Single
Other,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,No,Yes,Above 90%,70-80%,English,7.36,M.tech,Reputed University,90%,Other,Never,On the due date,10%,3-5 hours,No,5+ hours,Revising the week's study material,Practice by writing,Library (group study),From friends after class,2,12am or before,Yes,Almost same as you,Single
Other,ST/SC,Tertiary (graduation or above),Urban,Below 1 lakh,No,No,60-70%,80-90%,Hindi,5.76,M.tech,Reputed University,70%,Hostel room,Frequently,On the due date,80%,2 hours or less,Yes,0 hours,Sleeping all day,Practice by writing,Library (group study),From friends after class,3,1am,No,Worse than you,Healthy Relationship
Female,Other (PWD),Secondary (9-12),Semi-Urban,2.5 - 5 lakh,No,No,70-80%,60-70%,Regional languages,7.46,MCA,Regional and Private Colleges,80%,Home,Frequently,Missed some homeworks,50%,3-5 hours,Yes,1-2 hours,Sleeping all day,Revising the whole notes,Library (self),From Professor in class,4,12am or before,Yes,Worse than you,Healthy Relationship
Female,ST/SC,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,No,Above 90%,70-80%,Regional languages,8.62,MCA,Regional and Private Colleges,70%,Other,Once in a while,On the due date,80%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Revising the whole notes,Library (group study),From Professor in class,2,3am or later,No,Worse than you,Toxic Relationship
Other,General,Secondary (9-12),Urban,2.5 - 5 lakh,No,No,Above 90%,70-80%,Hindi,6.18,Other,Regional and Private Colleges,70%,Other,Never,2 or more days before due date,10%,2 hours or less,No,5+ hours,Netflix and Chill,Revising the whole notes,Home (self),From Professor in class,More than 4,12am or before,No,Worse than you,Healthy Relationship
Female,OBC,Secondary (9-12),Rural,1 - 2.5 lakh,No,Yes,Below 60%,Above 90%,Hindi,7.78,B.tech,Reputed University,90%,Other,Frequently,Missed some homeworks,100%,5+ hours,Yes,5+ hours,Going outside with friends,Summarizing and making short notes,Library (self),From Professor in class,2,3am or later,Yes,Almost same as you,Healthy Relationship
Female,ST/SC,Primary (1-8),Urban,1 - 2.5 lakh,No,Yes,70-80%,70-80%,English,5.27,Law,Regional and Private Colleges,90%,Other,Frequently,On the due date,10%,5+ hours,No,2-4 hours,Netflix and Chill,Practice by writing,Library (self),Reading from books,More than 4,1am,Yes,Almost same as you,Toxic Relationship
Male,ST/SC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,Yes,80-90%,60-70%,Hindi,5.29,Other,IIT,70%,PG room,Once in a while,2 or more days before due date,80%,3-5 hours,Yes,2-4 hours,Netflix and Chill,Summarizing and making short notes,Home (self),From Professor in class,Alone,12am or before,Yes,Worse than you,Toxic Relationship
Female,General,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,Yes,Yes,Below 60%,Above 90%,English,8.36,M.sc.,Reputed University,80%,PG room,Once in a while,On the due date,80%,3-5 hours,No,2-4 hours,Going outside with friends,Practice by writing,Library (self),From YouTube/online platforms,More than 4,1am,Yes,Better than you,Toxic Relationship
Other,General,Tertiary (graduation or above),Semi-Urban,above 10 lakh,No,Yes,Above 90%,Below 60%,English,9.63,Other,IIT,70%,PG room,Frequently,2 or more days before due date,10%,5+ hours,Yes,2-4 hours,Revising the week's study material,Summarizing and making short notes,Library (group study),From Professor in class,More than 4,3am or later,No,Worse than you,Single
Female,General,Tertiary (graduation or above),Rural,Below 1 lakh,Yes,Yes,Above 90%,Below 60%,Regional languages,9.01,MCA,IIT,70%,Hostel room,Never,2 or more days before due date,80%,3-5 hours,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Home (self),From YouTube/online platforms,4,3am or later,Yes,Worse than you,Single
Male,Other (PWD),Tertiary (graduation or above),Other,2.5 - 5 lakh,Yes,Yes,Below 60%,60-70%,Hindi,5.13,B.tech,IIT,Didn't attend classes properly,Other,Frequently,On the due date,80%,2 hours or less,No,5+ hours,Sleeping all day,Revising the whole notes,Library (self),From Professor in class,2,12am or before,Yes,Worse than you,Single
Male,General,Primary (1-8),Rural,above 10 lakh,No,No,Above 90%,70-80%,English,9.07,M.sc.,NIT,70%,Hostel room,Once in a while,Missed some homeworks,50%,3-5 hours,Yes,0 hours,Netflix and Chill,Summarizing and making short notes,Home (self),Reading from books,Alone,2am,Yes,Better than you,Healthy Relationship
Male,Other (PWD),Tertiary (graduation or above),Rural,above 10 lakh,Yes,Yes,80-90%,70-80%,Hindi,6.4,Law,NIT,Didn't attend classes properly,Home,Once in a while,2 or more days before due date,100%,2 hours or less,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From Professor in class,Alone,1am,No,Better than you,Toxic Relationship
Other,General,Primary (1-8),Urban,2.5 - 5 lakh,No,No,60-70%,Above 90%,Regional languages,7.27,B.tech,NIT,Didn't attend classes properly,PG room,Once in a while,On the due date,10%,3-5 hours,No,0 hours,Going outside with friends,Practice by writing,Library (self),Reading from books,More than 4,1am,Yes,Worse than you,Single
Other,Other (PWD),Secondary (9-12),Urban,2.5 - 5 lakh,No,Yes,80-90%,Above 90%,Hindi,9.84,Law,Regional and Private Colleges,70%,Other,Never,2 or more days before due date,100%,2 hours or less,Yes,0 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From YouTube/online platforms,Alone,3am or later,Yes,Almost same as you,Healthy Relationship
Male,Other (PWD),Primary (1-8),Urban,5 - 10 lakh,No,No,60-70%,80-90%,English,7.52,M.tech,IIT,90%,Hostel room,Frequently,On the due date,80%,5+ hours,No,2-4 hours,Going outside with friends,Revising the whole notes,Library (group study),From friends after class,4,12am or before,Yes,Almost same as you,Toxic Relationship
Female,ST/SC,Secondary (9-12),Other,Below 1 lakh,Yes,Yes,Above 90%,Above 90%,English,6.98,M.tech,Regional and Private Colleges,80%,Home,Frequently,Missed some homeworks,80%,5+ hours,No,2-4 hours,Sleeping all day,Revising the whole notes,Home (self),From YouTube/online platforms,4,1am,Yes,Almost same as you,Toxic Relationship
Female,ST/SC,Primary (1-8),Other,Below 1 lakh,No,Yes,Below 60%,Below 60%,Hindi,9.74,MCA,Regional and Private Colleges,90%,Other,Frequently,On the due date,80%,3-5 hours,No,1-2 hours,Sleeping all day,Revising the whole notes,Home (group study),From Professor in class,More than 4,3am or later,Yes,Worse than you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Semi-Urban,above 10 lakh,No,No,60-70%,70-80%,Hindi,6.92,M.tech,IIT,Didn't attend classes properly,Other,Frequently,Missed some homeworks,50%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From YouTube/online platforms,More than 4,3am or later,Yes,Worse than you,Toxic Relationship
